"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"21.04.2023","2.639,95","2.640,99","2.648,21","2.626,94","","0,08%"
"20.04.2023","2.637,85","2.600,71","2.640,78","2.565,61","","1,20%"
"19.04.2023","2.606,55","2.617,91","2.629,01","2.584,96","","-0,35%"
"18.04.2023","2.615,62","2.601,34","2.615,62","2.586,05","","0,75%"
"17.04.2023","2.596,11","2.572,54","2.596,45","2.572,54","","1,61%"
"14.04.2023","2.554,85","2.546,93","2.554,85","2.532,39","","0,42%"
"13.04.2023","2.544,28","2.544,28","2.544,28","2.544,28","","0,23%"
"12.04.2023","2.538,47","2.538,62","2.554,77","2.520,65","","0,19%"
"11.04.2023","2.533,69","2.560,04","2.577,51","2.515,83","","-0,54%"
"10.04.2023","2.547,35","2.523,20","2.548,41","2.523,20","","1,55%"
"07.04.2023","2.508,39","2.504,04","2.511,95","2.491,37","","0,40%"
"06.04.2023","2.498,30","2.504,06","2.521,81","2.498,30","","-0,10%"
"05.04.2023","2.500,80","2.489,18","2.500,80","2.465,77","","0,82%"
"04.04.2023","2.480,45","2.483,47","2.511,49","2.479,24","","0,29%"
"03.04.2023","2.473,32","2.474,37","2.482,54","2.463,00","","0,92%"
"31.03.2023","2.450,67","2.470,12","2.472,53","2.424,45","","-0,62%"
"30.03.2023","2.465,93","2.458,06","2.467,97","2.450,46","","0,21%"
"29.03.2023","2.460,87","2.449,96","2.468,48","2.437,52","","0,76%"
"28.03.2023","2.442,19","2.453,26","2.458,37","2.421,39","","0,06%"
"27.03.2023","2.440,68","2.400,84","2.440,68","2.400,84","","2,06%"
"24.03.2023","2.391,53","2.386,53","2.394,03","2.384,29","","0,13%"
"23.03.2023","2.388,35","2.386,70","2.396,50","2.379,88","","-0,23%"
"22.03.2023","2.393,88","2.387,81","2.398,76","2.374,46","","-0,18%"
"21.03.2023","2.398,15","2.417,43","2.431,23","2.383,08","","0,04%"
"20.03.2023","2.397,16","2.337,83","2.397,16","2.332,80","","3,20%"
"17.03.2023","2.322,78","2.284,78","2.322,78","2.275,48","","2,86%"
"16.03.2023","2.258,22","2.262,61","2.269,01","2.236,77","","-0,17%"
"15.03.2023","2.262,07","2.287,16","2.295,06","2.257,00","","-1,23%"
"14.03.2023","2.290,32","2.266,78","2.290,32","2.261,65","","0,92%"
"13.03.2023","2.269,47","2.279,13","2.289,70","2.250,14","","-0,30%"
"10.03.2023","2.276,25","2.272,61","2.283,18","2.266,33","","-0,61%"
"09.03.2023","2.290,14","2.295,03","2.302,10","2.278,95","","-0,24%"
"07.03.2023","2.295,60","2.294,32","2.298,93","2.281,46","","0,06%"
"06.03.2023","2.294,12","2.286,20","2.297,86","2.283,40","","0,96%"
"03.03.2023","2.272,20","2.250,12","2.273,52","2.249,81","","0,79%"
"02.03.2023","2.254,30","2.284,87","2.286,27","2.235,43","","-1,11%"
"01.03.2023","2.279,65","2.258,89","2.287,48","2.255,45","","1,18%"
"28.02.2023","2.253,16","2.246,26","2.258,68","2.239,59","","0,54%"
"27.02.2023","2.241,10","2.194,39","2.241,10","2.188,95","","1,50%"
"24.02.2023","2.208,03","2.209,10","2.223,23","2.202,25","","-0,20%"
"22.02.2023","2.212,40","2.215,43","2.215,58","2.194,99","","0,00%"
"21.02.2023","2.212,42","2.184,60","2.227,82","2.184,51","","1,32%"
"20.02.2023","2.183,57","2.172,53","2.186,39","2.140,78","","0,68%"
"17.02.2023","2.168,88","2.157,50","2.180,96","2.147,31","","0,69%"
"16.02.2023","2.153,96","2.169,39","2.186,64","2.150,17","","-0,58%"
"15.02.2023","2.166,46","2.216,69","2.216,69","2.164,70","","-2,95%"
"14.02.2023","2.232,23","2.256,59","2.256,96","2.225,94","","-1,42%"
"13.02.2023","2.264,27","2.262,65","2.271,00","2.261,37","","0,12%"
"10.02.2023","2.261,58","2.253,51","2.264,39","2.249,62","","-0,04%"
"09.02.2023","2.262,45","2.258,97","2.269,96","2.241,02","","0,47%"
"08.02.2023","2.251,97","2.273,59","2.283,49","2.244,52","","-0,69%"
"07.02.2023","2.267,69","2.281,69","2.290,51","2.262,30","","-0,21%"
"06.02.2023","2.272,37","2.245,93","2.276,50","2.243,77","","1,07%"
"03.02.2023","2.248,30","2.239,10","2.253,70","2.216,63","","0,21%"
"02.02.2023","2.243,54","2.243,04","2.249,56","2.228,56","","0,60%"
"01.02.2023","2.230,15","2.232,02","2.247,12","2.224,95","","0,20%"
"31.01.2023","2.225,60","2.203,57","2.225,60","2.202,76","","0,96%"
"30.01.2023","2.204,41","2.193,99","2.204,41","2.189,12","","0,69%"
"27.01.2023","2.189,35","2.174,85","2.189,35","2.167,33","","1,04%"
"26.01.2023","2.166,92","2.181,96","2.183,77","2.166,92","","-0,15%"
"25.01.2023","2.170,15","2.168,48","2.176,61","2.160,76","","-0,12%"
"24.01.2023","2.172,75","2.191,64","2.199,29","2.172,75","","-0,57%"
"23.01.2023","2.185,31","2.167,92","2.186,85","2.164,89","","0,86%"
"20.01.2023","2.166,69","2.167,61","2.173,71","2.154,37","","-0,10%"
"19.01.2023","2.168,83","2.190,02","2.193,93","2.162,11","","-1,25%"
"18.01.2023","2.196,26","2.188,90","2.206,66","2.177,65","","-0,03%"
"17.01.2023","2.196,84","2.225,26","2.226,49","2.196,84","","-1,26%"
"16.01.2023","2.224,90","2.204,64","2.224,90","2.204,46","","1,13%"
"13.01.2023","2.199,94","2.188,60","2.204,18","2.179,82","","0,64%"
"12.01.2023","2.185,93","2.193,53","2.194,80","2.177,36","","-0,05%"
"11.01.2023","2.186,98","2.156,28","2.190,40","2.153,55","","1,27%"
"10.01.2023","2.159,51","2.162,70","2.162,92","2.145,14","","-0,18%"
"09.01.2023","2.163,50","2.163,43","2.169,70","2.162,08","","0,33%"
"06.01.2023","2.156,39","2.157,32","2.160,08","2.153,32","","-0,01%"
"05.01.2023","2.156,67","2.170,40","2.171,94","2.154,16","","-0,54%"
"04.01.2023","2.168,42","2.171,54","2.179,56","2.162,06","","-0,20%"
"03.01.2023","2.172,68","2.157,18","2.174,23","2.157,18","","0,86%"
"30.12.2022","2.154,12","2.149,83","2.154,47","2.139,79","","0,33%"
"29.12.2022","2.147,06","2.135,91","2.149,94","2.134,48","","0,34%"
"28.12.2022","2.139,77","2.150,12","2.152,47","2.136,68","","-0,52%"
"27.12.2022","2.150,92","2.142,08","2.154,35","2.138,11","","0,55%"
"26.12.2022","2.139,21","2.126,40","2.139,78","2.126,40","","0,72%"
"23.12.2022","2.124,02","2.121,99","2.128,27","2.110,59","","0,05%"
"22.12.2022","2.122,91","2.124,37","2.134,48","2.114,91","","0,32%"
"21.12.2022","2.116,13","2.135,41","2.139,49","2.102,24","","-0,15%"
"20.12.2022","2.119,37","2.071,10","2.119,37","2.070,58","","-0,50%"
"19.12.2022","2.129,98","2.131,33","2.139,07","2.109,56","","-0,13%"
"16.12.2022","2.132,75","2.118,43","2.135,79","2.116,08","","0,28%"
"15.12.2022","2.126,80","2.151,69","2.151,69","2.115,21","","-1,53%"
"14.12.2022","2.159,81","2.171,12","2.171,31","2.154,65","","-0,67%"
"13.12.2022","2.174,38","2.175,29","2.177,95","2.154,52","","0,06%"
"12.12.2022","2.173,16","2.178,33","2.185,49","2.163,33","","-0,22%"
"09.12.2022","2.177,85","2.178,93","2.183,97","2.169,04","","-0,30%"
"08.12.2022","2.184,43","2.196,17","2.197,77","2.174,57","","-0,39%"
"07.12.2022","2.192,88","2.185,01","2.193,71","2.166,77","","-0,15%"
"06.12.2022","2.196,24","2.204,51","2.208,36","2.184,65","","-0,55%"
"05.12.2022","2.208,28","2.179,79","2.210,70","2.174,17","","1,28%"
"02.12.2022","2.180,44","2.189,19","2.189,35","2.173,48","","-0,31%"
"01.12.2022","2.187,29","2.189,65","2.193,41","2.183,57","","0,59%"
"30.11.2022","2.174,53","2.184,27","2.184,27","2.172,67","","-0,49%"
"29.11.2022","2.185,32","2.180,65","2.191,44","2.178,34","","0,36%"
"28.11.2022","2.177,45","2.180,32","2.182,16","2.163,44","","-0,81%"
"25.11.2022","2.195,17","2.209,31","2.211,10","2.190,67","","-0,71%"
"24.11.2022","2.210,95","2.214,14","2.225,92","2.206,12","","-0,04%"
"23.11.2022","2.211,89","2.196,24","2.217,40","2.180,64","","0,72%"
"22.11.2022","2.196,04","2.179,76","2.200,06","2.169,62","","1,37%"
"21.11.2022","2.166,31","2.204,90","2.204,90","2.161,35","","-1,81%"
"18.11.2022","2.206,32","2.208,39","2.211,70","2.189,93","","-0,30%"
"17.11.2022","2.212,93","2.227,54","2.235,76","2.200,11","","-0,64%"
"16.11.2022","2.227,19","2.199,10","2.232,83","2.191,95","","0,18%"
"15.11.2022","2.223,26","2.249,22","2.254,94","2.211,19","","-0,96%"
"14.11.2022","2.244,77","2.230,80","2.245,90","2.221,31","","1,23%"
"11.11.2022","2.217,44","2.221,68","2.224,97","2.204,33","","0,34%"
"10.11.2022","2.210,02","2.167,96","2.211,21","2.161,57","","2,01%"
"09.11.2022","2.166,56","2.201,06","2.205,92","2.166,42","","-1,84%"
"08.11.2022","2.207,20","2.213,39","2.221,13","2.188,22","","-0,07%"
"07.11.2022","2.208,78","2.176,33","2.208,78","2.172,34","","2,45%"
"03.11.2022","2.155,92","2.145,54","2.156,78","2.123,32","","-0,82%"
